Project,DSN stability,DSN size,DSN density,DSN bridges,DSN k-stars (k=3),
homebrew-cask,0.009744695,672,0.000240392,168,79,
Cataclysm-DDA,0.026534155,663,3.85E-05,44,72,
framework,0.003204642,3418,1.86E-05,462,371,
istio,0.004966305,2753,1.51E-05,258,271,
bitcoin,0.016144062,508,0.000223836,52,81,
sourcegraph,0.071390799,62,0.005331957,18,12,
ardupilot,0.014424069,631,0.000144574,88,67,
radare2,0.031785346,171,0.001322649,47,28,
openssl,0.017926477,270,0.001048939,65,31,
numpy,0.009723639,633,0.000291081,141,109,
chef,0.006973367,1033,0.000136076,178,120,
cdnjs,0.02025757,170,0.00283187,56,38,
openlayers,0.019782916,326,0.000523973,68,48,
Ghost,0.006254982,1412,6.76E-05,234,153,
elixir,0.026851429,199,0.001181079,52,34,
PowerShell,0.007605019,1373,5.11E-05,170,156,
metamask-extension,0.00445598,1757,6.92E-05,250,198,
grpc-java,0.01388029,422,0.000495969,72,53,
rpcs3,0.046748318,187,0.000547502,14,27,
react-native-windows,0.016495389,276,0.001157742,65,32,
spring-boot,0.004062815,1670,9.21E-05,358,260,
curl,0.005910762,724,0.000473628,202,119,
codecombat,0.015984691,327,0.000763528,74,48,
MonoGame,0.017333128,484,0.000221077,67,64,
theia,0.017836662,390,0.00038117,78,56,
sequelize,0.022443239,316,0.000447423,70,46,
monica,0.011406594,524,0.000375101,105,74,
ingress-nginx,0.003674667,2124,5.76E-05,306,249,
darkreader,0.094357077,47,0.006926024,15,6,
parse-server,0.005648535,2011,2.98E-05,194,230,
jerryscript,0.083661417,128,0.000527713,17,11,
cypress,0.01662017,536,0.000176784,80,49,
Chart.js,0.00596628,1474,6.55E-05,232,141,
material,0.003026533,5398,5.43E-06,488,437,
codesandbox-client,0.004202456,1346,0.000160966,289,212,
sway,0.014295395,530,0.000240936,94,67,
TiddlyWiki5,0.040667859,130,0.001814857,38,14,
borg,0.010251077,636,0.000268269,108,101,
realm-cocoa,0.005510838,1896,3.66E-05,278,223,
aws-cli,0.008440092,764,0.000219321,180,86,
keystone-classic,0.015078275,827,6.05E-05,78,78,
amplify-js,0.002931975,4331,1.12E-05,282,319,
notepad-plus-plus,0.00376162,1648,0.000108504,398,184,
blueprint,0.009326095,659,0.000277971,157,75,
caffe,0.004650744,2043,4.10E-05,279,162,
redux,0.006361395,1699,3.84E-05,229,163,
mitmproxy,0.023865723,124,0.004920635,43,22,
prometheus-operator,0.007023122,1058,0.000127646,145,149,
flask,0.018821758,231,0.001429491,67,39,
cert-manager,0.005970859,1674,4.61E-05,158,150,
kakoune,0.074592075,78,0.002652791,19,9,
notebook,0.006539632,1285,8.19E-05,208,165,
qutebrowser,0.012379269,463,0.000442562,123,46,
go,0.069429098,181,0.00027733,12,17,
karma,0.008651283,911,0.00013291,118,106,
directus,0.094252874,30,0.024489796,9,9,
phpunit,0.011164664,444,0.000576129,144,53,
KaTeX,0.043546798,175,0.000721483,34,17,
snipe-it,0.005904102,969,0.00021228,253,132,
streamlink,0.010334392,862,0.000110916,109,118,
react-select,0.005032491,1748,5.61E-05,215,199,
antlr4,0.031839129,155,0.001795644,36,24,
materialize,0.003200674,3166,2.33E-05,437,332,
kanboard,0.006851157,995,0.000151899,229,112,
swift-nio,0.037208086,152,0.001433557,34,15,
dogecoin,0.025135478,295,0.000462466,40,37,
pipenv,0.00356531,2467,3.96E-05,316,310,
duktape,0.03244966,118,0.003424956,39,12,
administrate,0.013514282,563,0.000230857,71,53,
puma,0.019726376,449,0.000217378,50,58,
guzzle,0.00878466,322,0.001828289,140,36,
mybatis-3,0.015427136,200,0.002719756,77,11,
workbox,0.010642006,429,0.000732203,106,72,
mackup,0.024554942,181,0.001807686,48,19,
WinObjC,0.030947441,241,0.000554306,38,24,
emotion,0.007948261,936,0.000141404,162,95,
eslint-plugin-react,0.006523152,888,0.00023138,202,122,
summernote,0.008115533,990,0.000114938,177,95,
python-telegram-bot,0.011319149,376,0.000931498,101,53,
sarama,0.031873016,126,0.003070101,36,22,
hexo,0.005840904,904,0.000270255,201,139,
wekan,0.024330611,450,0.000142231,56,57,
PeerTube,0.019142465,410,0.000294552,64,40,
reveal.js,0.00908995,436,0.000860774,145,50,
gym,0.009411592,825,0.000147864,143,91,
fairseq,0.005944647,869,0.000290138,197,116,
outline,0.045454545,89,0.004340828,25,9,
junit4,0.044444444,180,0.000617568,48,18,
capstone,0.017743702,166,0.003356587,72,24,
evergreen,0.046349206,126,0.001695714,21,15,
eureka,0.085585586,37,0.016734509,10,5,
postcss,0.029000486,257,0.000503374,57,25,
nw.js,0.006728984,1537,4.63E-05,199,161,
socket.io,0.01001327,859,0.00011801,121,70,
kompose,0.044396393,209,0.00043568,15,35,
nvd3,0.012141511,562,0.000276695,100,74,
react-native-gifted-chat,0.008909321,665,0.000314481,88,76,
powerline,0.008225631,573,0.000491803,179,60,
codimd,0.021472989,249,0.00090331,80,32,
elasticsearch-js,0.021667895,313,0.000477906,87,33,
koa,0.03864704,310,0.000177205,20,38,
mjml,0.007609141,763,0.000270424,164,132,
feathers,0.056737589,94,0.002707685,16,19,
next-auth,0.01187874,473,0.000476845,84,56,
streisand,0.015878005,415,0.000401664,73,66,
polybar,0.005757602,904,0.000264093,267,104,
nopCommerce,0.016071066,372,0.000520564,87,42,
PocketHub,0.030967885,233,0.000601073,44,26,
compiler,0.030344828,175,0.001402806,38,28,
Humanizer,0.031449126,140,0.002563398,25,30,
swiper,0.00376878,595,0.001235283,316,64,
react-big-calendar,0.008493258,572,0.000510144,113,71,
