Project,DSN stability,C#,C++,Ruby,Python,Go,C,Java,JavaScript-like,PHP,other language,System,CN,SP,DET,AI,DS,GE,Mobile,other domain,sponsor,size,experience
homebrew-cask,0.009744695,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1341,364.0856957
Cataclysm-DDA,0.026534155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,491,758.0447608
framework,0.003204642,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,937,652.8322061
istio,0.004966305,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,1172.326084
bitcoin,0.016144062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,163,410.5107523
sourcegraph,0.071390799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1441.939599
ardupilot,0.014424069,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,717.6731258
radare2,0.031785346,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,54,572.5864899
openssl,0.017926477,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29,1010.295071
numpy,0.009723639,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,261,818.6814997
chef,0.006973367,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,286,1401.151557
cdnjs,0.02025757,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,776,809.4091532
openlayers,0.019782916,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,88,951.4444213
Ghost,0.006254982,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,270,936.4429913
elixir,0.026851429,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,139,650.1718924
PowerShell,0.007605019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61,612.4975916
metamask-extension,0.00445598,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,99,1017.303939
grpc-java,0.01388029,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,42,717.6840157
rpcs3,0.046748318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,72,572.9787069
react-native-windows,0.016495389,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,852.0383932
spring-boot,0.004062815,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28,905.5646362
curl,0.005910762,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,1602.298317
codecombat,0.015984691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,549,772.7872454
MonoGame,0.017333128,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,203,344.2594074
theia,0.017836662,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,52,1538.65592
sequelize,0.022443239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,98,453.9241898
monica,0.011406594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1259.115071
ingress-nginx,0.003674667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314,1315.100855
darkreader,0.094357077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,12,561.4965493
parse-server,0.005648535,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,73,1328.720771
jerryscript,0.083661417,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,809.1818201
cypress,0.01662017,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,960.5537917
Chart.js,0.00596628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,99,600.44961
material,0.003026533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,1064.412209
codesandbox-client,0.004202456,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34,1351.160452
sway,0.014295395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,156,1105.963273
TiddlyWiki5,0.040667859,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63,601.1190008
borg,0.010251077,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,112,1385.701434
realm-cocoa,0.005510838,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,92,1156.244311
aws-cli,0.008440092,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,723.4865532
keystone-classic,0.015078275,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,206,855.6847618
amplify-js,0.002931975,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,126,1480.013952
notepad-plus-plus,0.00376162,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,707.3978542
blueprint,0.009326095,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,1509.908569
caffe,0.004650744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,213,792.2660199
redux,0.006361395,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,333,1214.51585
mitmproxy,0.023865723,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,58,419.3666268
prometheus-operator,0.007023122,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,236,1361.06627
flask,0.018821758,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,101,436.3067793
cert-manager,0.005970859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,184,1879.3346
kakoune,0.074592075,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,950.5463316
notebook,0.006539632,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,189,1462.510787
qutebrowser,0.012379269,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,162,809.0920214
go,0.069429098,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,322.9796354
karma,0.008651283,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,111,586.8117354
directus,0.094252874,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,600.899945
phpunit,0.011164664,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,94,252.3733999
KaTeX,0.043546798,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,39,925.1570827
snipe-it,0.005904102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,8,845.6763457
streamlink,0.010334392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57,1343.692082
react-select,0.005032491,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,228,1314.296914
antlr4,0.031839129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,291.4476196
